region,site,block_ID_original,plot_ID_original,position_ID_original,species,treat_warming,treat_competition,added_focals,block_ID,position_ID,unique_plot_ID,unique_plant_ID
ZAF,lo,4,2,3,cotorb ,ambi,vege,wf,04,03,ZAF.lo.ambi.vege.wf.04,ZAF.lo.ambi.vege.wf.04.03
ZAF,lo,4,2,4,arijuc ,ambi,vege,wf,04,04,ZAF.lo.ambi.vege.wf.04,ZAF.lo.ambi.vege.wf.04.04
ZAF,lo,4,2,5,eracap,ambi,vege,wf,04,05,ZAF.lo.ambi.vege.wf.04,ZAF.lo.ambi.vege.wf.04.05
ZAF,lo,4,2,6,cribul,ambi,vege,wf,04,06,ZAF.lo.ambi.vege.wf.04,ZAF.lo.ambi.vege.wf.04.06
ZAF,lo,4,2,7,alomac,ambi,vege,wf,04,07,ZAF.lo.ambi.vege.wf.04,ZAF.lo.ambi.vege.wf.04.07
ZAF,lo,4,2,8,budlor,ambi,vege,wf,04,08,ZAF.lo.ambi.vege.wf.04,ZAF.lo.ambi.vege.wf.04.08
ZAF,lo,4,2,9,eupcla,ambi,vege,wf,04,09,ZAF.lo.ambi.vege.wf.04,ZAF.lo.ambi.vege.wf.04.09
ZAF,lo,4,2,10,diepau,ambi,vege,wf,04,10,ZAF.lo.ambi.vege.wf.04,ZAF.lo.ambi.vege.wf.04.10
ZAF,lo,4,2,11,melner,ambi,vege,wf,04,11,ZAF.lo.ambi.vege.wf.04,ZAF.lo.ambi.vege.wf.04.11
ZAF,lo,4,2,12,xervis,ambi,vege,wf,04,12,ZAF.lo.ambi.vege.wf.04,ZAF.lo.ambi.vege.wf.04.12
ZAF,lo,5,1,1,xervis,ambi,vege,wf,05,01,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.01
ZAF,lo,5,1,2,euppul,ambi,vege,wf,05,02,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.02
ZAF,lo,5,1,3,cotpan,ambi,vege,wf,05,03,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.03
ZAF,lo,5,1,4,arijuc,ambi,vege,wf,05,04,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.04
